policy,dynamics,agents,obstacles,control_noise,episodes,success_rate_pct,mean_reward,failures_total,fail_obstacle,fail_wall,fail_timeout,training_run,source_file
cbf,dynamic,3,2,medium,1000,29.20,0.00,708,340,0,368,navigation_cbf_20260603_025702,/local1/hishamb/cbf-rl-environment/results/results_cbf/results_cbf_navigation_cbf_20260603_025702_model_1499_20260603_212955/results_cbf_navigation_cbf_20260603_025702_model_1499_20260603_212955.txt
cbf,dynamic,3,2,high,1000,42.20,0.00,578,314,4,260,navigation_cbf_20260603_030101,/local1/hishamb/cbf-rl-environment/results/results_cbf/results_cbf_navigation_cbf_20260603_030101_model_1499_20260603_213756/results_cbf_navigation_cbf_20260603_030101_model_1499_20260603_213756.txt
cbf,dynamic,2,3,low,1000,88.10,0.00,119,79,1,39,navigation_cbf_20260603_024708,/local1/hishamb/cbf-rl-environment/results/results_cbf/results_cbf_navigation_cbf_20260603_024708_model_1499_20260603_205648/results_cbf_navigation_cbf_20260603_024708_model_1499_20260603_205648.txt
cbf,dynamic,2,3,medium,1000,74.10,0.00,259,136,2,121,navigation_cbf_20260603_025111,/local1/hishamb/cbf-rl-environment/results/results_cbf/results_cbf_navigation_cbf_20260603_025111_model_1499_20260603_210542/results_cbf_navigation_cbf_20260603_025111_model_1499_20260603_210542.txt
cbf,dynamic,2,3,high,1000,73.60,0.00,264,170,7,87,navigation_cbf_20260603_025212,/local1/hishamb/cbf-rl-environment/results/results_cbf/results_cbf_navigation_cbf_20260603_025212_model_1499_20260603_210604/results_cbf_navigation_cbf_20260603_025212_model_1499_20260603_210604.txt
cbf,dynamic,1,4,low,1000,96.40,2039.82,36,29,3,4,navigation_cbf_20260603_022256,/local1/hishamb/cbf-rl-environment/results/results_cbf/results_cbf_navigation_cbf_20260603_022256_model_1499_20260603_203432/results_cbf_navigation_cbf_20260603_022256_model_1499_20260603_203432.txt
cbf,dynamic,1,4,medium,1000,96.70,2071.69,33,14,5,14,navigation_cbf_20260603_023040,/local1/hishamb/cbf-rl-environment/results/results_cbf/results_cbf_navigation_cbf_20260603_023040_model_1499_20260603_204400/results_cbf_navigation_cbf_20260603_023040_model_1499_20260603_204400.txt
cbf,dynamic,1,4,high,1000,95.50,2034.97,45,22,5,18,navigation_cbf_20260603_023830,/local1/hishamb/cbf-rl-environment/results/results_cbf/results_cbf_navigation_cbf_20260603_023830_model_1499_20260603_205515/results_cbf_navigation_cbf_20260603_023830_model_1499_20260603_205515.txt
reward_only,dynamic,5,0,low,1000,25.70,0.00,743,547,66,130,navigation_reward_only_20260603_055007,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_055007_model_1499_20260604_050917/results_reward_only_navigation_reward_only_20260603_055007_model_1499_20260604_050917.txt
reward_only,dynamic,5,0,medium,1000,1.10,0.00,989,695,86,208,navigation_reward_only_20260603_055637,/local1/hishamb/cbf-rl-environment/results/results_reward_only/results_reward_only_navigation_reward_only_20260603_055637_model_1499_20260604_050917/results_reward_only_navigation_reward_only_20260603_055637_model_1499_20260604_050917.txt
